Time,Number of players,Total bets,Multiplier
14:34,1111,111111.11,1.00
14:34,1111,111111.11,2.51
14:33,1111,111111.11,1.86
14:32,1111,111111.11,59.17
14:31,1111,111111.11,2.60
14:31,1111,111111.11,2.03
14:30,1111,111111.11,2.88
14:30,1111,111111.11,1.00
14:30,1111,111111.11,4.88
14:29,1111,111111.11,1.40
14:29,1111,111111.11,3.03
14:28,1111,111111.11,4.76
14:28,1111,111111.11,8.24
14:27,1111,111111.11,1.04
14:27,1111,111111.11,1.25
14:26,1111,111111.11,1.50
14:26,1111,111111.11,1.10
14:26,1111,111111.11,1.20
14:25,1111,111111.11,4.06
14:25,1111,111111.11,3.27
14:24,1111,111111.11,1.04
14:24,1111,111111.11,1.44
14:23,1111,111111.11,1.14
14:23,1111,111111.11,6.12
14:22,1111,111111.11,1.41
14:22,1111,111111.11,4.57
14:21,1111,111111.11,2.24
14:21,1111,111111.11,2.45
14:20,1111,111111.11,1.65
14:20,1111,111111.11,1.45
14:19,1111,111111.11,5.24
14:19,1111,111111.11,1.99
14:18,1111,111111.11,2.55
14:18,1111,111111.11,1.17
14:17,1111,111111.11,4.34
14:17,1111,111111.11,1.40
14:16,1111,111111.11,1.00
14:16,1111,111111.11,2.45
14:16,1111,111111.11,1.60
14:15,1111,111111.11,1.55
14:15,1111,111111.11,1.23
14:14,1111,111111.11,1.20
14:14,1111,111111.11,1.20
14:14,1111,111111.11,1.15
14:13,1111,111111.11,5.08
14:13,1111,111111.11,8.94
14:12,1111,111111.11,1.47
14:12,1111,111111.11,2.69
14:11,1111,111111.11,1.86
14:10,1111,111111.11,1.30
14:10,1111,111111.11,3.41
14:09,1111,111111.11,1.72
14:09,1111,111111.11,1.17
14:08,1111,111111.11,1.15
14:08,1111,111111.11,2.06
14:08,1111,111111.11,2.14
14:07,1111,111111.11,4.55
14:06,1111,111111.11,1.65
14:06,1111,111111.11,2.73
14:06,1111,111111.11,1.22
14:05,1111,111111.11,1.85
14:05,1111,111111.11,3.29
14:04,1111,111111.11,1.00
14:04,1111,111111.11,3.75
14:03,1111,111111.11,1.17
14:03,1111,111111.11,1.25
14:03,1111,111111.11,2.20
14:02,1111,111111.11,1.49
14:02,1111,111111.11,4.47
14:01,1111,111111.11,906.53
13:59,1111,111111.11,1.19
13:59,1111,111111.11,1.64
13:58,1111,111111.11,4.98
13:58,1111,111111.11,1.00
13:57,1111,111111.11,1.12
13:57,1111,111111.11,13.17
13:56,1111,111111.11,5.81
13:56,1111,111111.11,1.00
13:55,1111,111111.11,10.66
13:54,1111,111111.11,1.30
13:54,1111,111111.11,1.35
13:54,1111,111111.11,1.35
13:53,1111,111111.11,1.60
13:53,1111,111111.11,2.81
13:52,1111,111111.11,1.30
13:52,1111,111111.11,1.99
13:51,1111,111111.11,2.12
13:51,1111,111111.11,1.62
13:50,1111,111111.11,3.04
13:50,1111,111111.11,1.45
13:50,1111,111111.11,1.16
13:49,1111,111111.11,1.00
13:49,1111,111111.11,1.13
13:48,1111,111111.11,1.55
13:48,1111,111111.11,19.15
13:47,1111,111111.11,1.46
13:47,1111,111111.11,1.67
13:46,1111,111111.11,1.00
13:46,1111,111111.11,1.71
13:45,1111,111111.11,1.36
13:45,1111,111111.11,2.76
13:44,1111,111111.11,8.27
13:43,1111,111111.11,2.05
13:43,1111,111111.11,1.60
13:42,1111,111111.11,3.02
13:42,1111,111111.11,7.43
13:41,1111,111111.11,3.24
13:40,1111,111111.11,3.28
13:39,1111,111111.11,1.66
13:39,1111,111111.11,2.03
13:38,1111,111111.11,6.47
13:38,1111,111111.11,6.29
13:37,1111,111111.11,2.19
13:36,1111,111111.11,2.49
13:36,1111,111111.11,1.16
13:35,1111,111111.11,19.34
13:34,1111,111111.11,2.38
13:33,1111,111111.11,2.53
13:33,1111,111111.11,1.45
13:32,1111,111111.11,1.18
13:32,1111,111111.11,4.16
13:31,1111,111111.11,2.76
13:31,1111,111111.11,1.17
13:30,1111,111111.11,1.00
13:30,1111,111111.11,1.00
13:30,1111,111111.11,2.31
13:29,1111,111111.11,8.10
13:28,1111,111111.11,1.85
13:28,1111,111111.11,8.30
13:27,1111,111111.11,1.07
13:27,1111,111111.11,2.64
13:26,1111,111111.11,135.13
13:25,1111,111111.11,1.75
13:24,1111,111111.11,1.73
13:24,1111,111111.11,1.15
13:23,1111,111111.11,1.24
13:23,1111,111111.11,1.79
13:23,1111,111111.11,6.16
13:22,1111,111111.11,9.21
13:21,1111,111111.11,9.21
13:20,1111,111111.11,5.36
13:20,1111,111111.11,1.29
13:19,1111,111111.11,1.37
13:19,1111,111111.11,3.26
13:18,1111,111111.11,1.60
13:18,1111,111111.11,6.31
13:17,1111,111111.11,1.58
13:16,1111,111111.11,18.63
